989,1,1,7@0
FBIS3-29,1,false,false
13000 M Dollars,1,1,7@2
FBIS3-23,1,false,false
corridor,1,1,7@4
FBIS3-29,1,false,false
pressuring,4,4,7@6
FBIS3-47,1,false,false
FBIS3-27,1,false,false
FBIS3-28,1,false,false
FBIS3-29,1,false,false
952 M Dollars,1,1,7@11
FBIS3-23,1,false,false
unjustified,2,2,7@13
FBIS3-3,1,false,false
FBIS3-29,1,false,false
boded,1,1,7@16
FBIS3-27,1,false,false
1000000 GR,1,1,7@18
FBIS3-35,1,false,false
compressors,1,2,7@20
FBIS3-29,2,false,false
07-15,1,2,7@22
FBIS3-27,2,false,false
steadfastness,1,2,7@24
FBIS3-48,2,false,false
translations,3,4,7@26
FBIS3-2,2,false,false
FBIS3-35,1,false,false
FBIS3-29,1,false,false
modem,1,2,7@30
FBIS3-2,2,false,false
DRAM,1,1,7@32
FBIS3-35,1,false,false
anticipated,4,5,7@34
FBIS3-29,1,false,false
FBIS3-26,1,false,false
FBIS3-45,2,false,false
FBIS3-23,1,false,false
tasks,1,1,7@39
FBIS3-29,1,false,false
commitments,4,5,7@41
FBIS3-9,1,false,false
FBIS3-43,1,false,false
FBIS3-44,2,false,false
FBIS3-46,1,false,false
reconstructing,1,2,7@46
FBIS3-29,2,false,false
1Oth,1,1,7@48
FBIS3-29,1,false,false
inorganic,2,2,7@50
FBIS3-29,1,false,false
FBIS3-23,1,false,false
certification,3,3,7@53
FBIS3-26,1,false,false
FBIS3-27,1,false,false
FBIS3-23,1,false,false
contents,6,9,7@57
FBIS3-26,1,false,false
FBIS3-9,2,false,false
FBIS3-46,2,false,false
FBIS3-47,1,false,false
FBIS3-48,1,false,false
FBIS3-29,2,false,false
EIGHTY-SEVEN,1,1,7@64
FBIS3-29,1,false,false
contrast,11,14,7@66
FBIS3-42,1,false,false
FBIS3-24,1,false,false
FBIS3-44,1,false,false
FBIS3-26,1,false,false
FBIS3-3,1,false,false
FBIS3-49,1,false,false
FBIS3-32,2,false,false
FBIS3-27,3,false,false
FBIS3-28,1,false,false
FBIS3-29,1,false,false
FBIS3-38,1,false,false
3.5,1,2,7@78
FBIS3-23,2,false,false
PRIEVIDZA,1,2,7@80
FBIS3-29,2,false,false
preposterously,1,1,7@82
FBIS3-3,1,false,false
status,14,26,7@84
FBIS3-25,2,false,false
FBIS3-26,1,false,false
FBIS3-11,1,false,false
FBIS3-14,1,false,false
FBIS3-46,4,false,false
FBIS3-47,1,false,false
FBIS3-48,1,false,false
FBIS3-15,5,false,false
FBIS3-27,3,false,false
FBIS3-35,1,false,false
FBIS3-29,2,false,false
FBIS3-23,2,false,false
FBIS3-6,1,false,false
FBIS3-39,1,false,false
recommending,1,1,7@99
FBIS3-32,1,false,false
RUKOVODITEL,1,1,7@101
FBIS3-14,1,false,false
patent-related,1,1,7@103
FBIS3-23,1,false,false
52K,1,1,7@105
FBIS3-29,1,false,false
composed,3,3,7@107
FBIS3-23,1,false,false
FBIS3-2,1,false,false
FBIS3-35,1,false,false
JIBRIL,1,2,7@111
FBIS3-7,2,false,false
sending,2,2,7@113
FBIS3-2,1,false,false
FBIS3-23,1,false,false
vets,1,1,7@116
FBIS3-27,1,false,false
table,4,4,7@118
FBIS3-32,1,false,false
FBIS3-34,1,false,false
FBIS3-28,1,false,false
FBIS3-35,1,false,false
mar,18,20,7@123
FBIS3-41,1,false,false
