covered,5,8,32@0
FBIS3-29,2,false,false
FBIS3-19,1,false,false
FBIS3-35,3,false,false
FBIS3-23,1,false,false
FBIS3-8,1,false,false
reaffirm,1,1,32@6
FBIS3-45,1,false,false
accumulator,1,1,32@8
FBIS3-35,1,false,false
digital-based,1,1,32@10
FBIS3-23,1,false,false
JULIUS,1,1,32@12
FBIS3-29,1,false,false
note,3,3,32@14
FBIS3-42,1,false,false
FBIS3-26,1,false,false
FBIS3-23,1,false,false
supposedly,1,3,32@18
FBIS3-27,3,false,false
712.2B,1,1,32@20
FBIS3-35,1,false,false
instances,1,1,32@22
FBIS3-23,1,false,false
just-completed,1,1,32@24
FBIS3-37,1,false,false
aware,1,1,32@26
FBIS3-45,1,false,false
SK7O.66,1,1,32@28
FBIS3-29,1,false,false
cap,1,1,32@30
FBIS3-29,1,false,false
spend,5,5,32@32
FBIS3-26,1,false,false
FBIS3-4,1,false,false
FBIS3-35,1,false,false
FBIS3-23,1,false,false
FBIS3-8,1,false,false
11-27,3,4,32@38
FBIS3-27,2,false,false
FBIS3-6,1,false,false
FBIS3-8,1,false,false
stating,6,14,32@42
FBIS3-43,4,false,false
FBIS3-45,1,false,false
FBIS3-48,1,false,false
FBIS3-26,5,false,false
FBIS3-20,1,false,false
FBIS3-40,2,false,false
prescribes,1,1,32@49
FBIS3-22,1,false,false
assistant,1,6,32@51
FBIS3-14,6,false,false
ineffective,1,1,32@53
FBIS3-40,1,false,false
1.985K,3,3,32@55
FBIS3-29,1,false,false
FBIS3-19,1,false,false
FBIS3-23,1,false,false
oath,1,5,32@59
FBIS3-27,5,false,false
prevailing,1,2,32@61
FBIS3-29,2,false,false
exception,2,2,32@63
FBIS3-29,1,false,false
FBIS3-6,1,false,false
stockholding,1,1,32@66
FBIS3-29,1,false,false
8.9,1,1,32@68
FBIS3-23,1,false,false
springboard,1,1,32@70
FBIS3-29,1,false,false
explanation,1,1,32@72
FBIS3-41,1,false,false
youth,1,3,32@74
FBIS3-26,3,false,false
unjustifiable,1,2,32@76
FBIS3-13,2,false,false
properly,2,2,32@78
FBIS3-5,1,false,false
FBIS3-29,1,false,false
LVIV,2,21,32@81
FBIS3-27,1,false,false
FBIS3-38,20,false,false
scorn,1,1,32@84
FBIS3-42,1,false,false
fluctuate,1,1,32@86
FBIS3-29,1,false,false
harms,1,1,32@88
FBIS3-29,1,false,false
sovereignty,3,4,32@90
FBIS3-9,1,false,false
FBIS3-46,2,false,false
FBIS3-48,1,false,false
conceal,1,1,32@94
FBIS3-8,1,false,false
